id	日本語	英語	残存hint
D01-W05	取る・持っていく	take	話し手から離れる方へ持っていく
D01-W07	行く	go	話し手から離れる方へ行く
D01-W08	来る	come	話し手のいる方へ来る
D01-W09	見る	see	自然に目に入る
D01-W10	見る	look	意識して見る
D01-W11	（じっと）見る	watch	じっと見る
D01-W12	聞こえる	hear	自然に聞こえる
D01-W13	聞く	listen	意識して聞く
D01-W14	話す	speak	言語を話す
D01-W15	言う	say	言葉を言う
D01-W16	伝える	tell	相手に伝える
D01-W17	話す	talk	会話する
D02-W11	行く	go	話し手から離れる方へ行く
D02-W12	来る	come	話し手のいる方へ来る
D02-W13	聞く	listen	意識して聞く
D02-W14	話す	speak	言語を話す
D03-W18	話す	speak	言語を話す
D03-W19	話す	talk	会話する
D04-W01	持ってくる	bring	話し手のいる方へ持ってくる
D05-W11	持ってくる	bring	話し手のいる方へ持ってくる
D08-W06	持ってくる	bring	話し手のいる方へ持ってくる
D09-W19	速く	quickly	副詞・7文字
D11-W19	速く	quickly	副詞・7文字
D12-W09	高い	expensive	形容詞・9文字
D17-W16	速く	fast	副詞・4文字
D18-W18	聞く	listen	意識して聞く
D18-W19	話す	speak	言語を話す
D21-W02	確認する	check	動詞・5文字
D21-W20	確認する	confirm	動詞・7文字
D24-W04	難しい	difficult	形容詞・9文字
D24-W18	確認する	check	動詞・5文字
D25-W18	見る	watch	じっと見る
D25-W19	聞く	listen	意識して聞く
D29-W13	速い	fast	形容詞・4文字
D29-W18	高い	high	形容詞・4文字
D31-W11	賢い	smart	形容詞・5文字
D31-W16	難しい	difficult	形容詞・9文字
D32-W04	速く	quickly	副詞・7文字
D32-W06	賢い	clever	形容詞・6文字
D32-W12	難しい	hard	形容詞・4文字
D34-W12	確認する	check	動詞・5文字
D38-W16	行く	go	話し手から離れる方へ行く
D38-W17	来る	come	話し手のいる方へ来る
